Word	Counts
Jay	156
wealthy	156
interested	156
reps	156
denying	156
guest	156
wh	156
cannot	156
cocky	156
regular	156
copied	156
quick	156
brains	155
fools	155
guests	155
caring	155
fits	155
disbandment	155
enjoying	154
naturally	154
South	154
recognized	154
investigations	154
center	154
due	154
Seungyeon	154
Cao	154
waited	154
boot	154
earn	153
tour	153
cringe	153
Nobody	153
designer	153
disappointment	153
Hmm	153
Hwang	153
Junhyung	152
except	152
Hwan	152
managing	152
taste	152
causing	152
Rainbow	152
continues	152
Ryu	152
tomorrow	151
psycho	151
recording	151
crappy	151
drug	151
helped	151
laughed	151
safe	150
smoking	150
sponsors	150
brain	150
MCs	150
gross	150
prove	150
general	150
dancer	150
Moo	150
forgotten	149
ceremonies	149
denied	149
Wait	149
101	149
hers	149
cared	149
Okay	149
dangerous	149
Irene	149
Lu	148
Chun	148
achieve	148
teams	148
improve	148
mistakes	148
14	148
Up	148
gifts	148
Facebook	147
dark	147
pronunciation	147
happiness	147
Netizens	146
stomach	146
product	146
DSP	146
breaks	146
Brave	146
somewhere	146
Most	146
monster	146
Crazy	146
minor	146
manners	146
Has	145
ears	145
shoes	145
clarify	145
period	145
manner	145
products	145
chemistry	145
performed	145
Se7en	145
project	145
24	145
pop	145
genuine	145
Muses	145
useless	145
programs	144
store	144
Chaeyeon	144
Was	144
further	144
audition	144
Wasn	144
vocalist	144
bubble	143
roots	143
promotion	143
earlier	143
gotta	143
par	143
selcas	143
Time	143
Journalist	143
surprising	143
styles	143
Chul	142
Heart	142
Dream	142
goose	142
signing	142
makjang	142
Always	142
weak	142
reflecting	142
Tony	142
Taek	142
ajusshi	142
Bae	142
Everything	142
disappear	141
waist	141
sleeping	141
Singer	141
Mong	141
respectful	141
refreshing	141
haters	141
M	141
topic	141
Women	141
ran	141
hearts	141
table	141
sasaengs	140
ups	140
leg	140
Reminds	140
blood	140
wealth	140
served	140
online	140
committed	140
massage	140
editing	140
tracks	139
survive	139
Seul	139
disbanded	139
message	139
Kids	139
reported	139
wore	139
Ae	139
Hope	139
April	138
shirt	138
ck	138
heels	138
Nicole	138
immature	138
price	138
intentions	138
trip	138
shoulders	138
abuse	138
preparing	138
related	138
TEEN	138
becomes	138
Today	138
Hello	137
photoshopped	137
highly	137
Jiyoung	137
F	137
May	137
joking	137
ride	137
thousands	137
None	136
visit	136
shown	136
Woong	136
excited	136
record	136
Siwan	136
Yes	135
killed	135
died	135
17	135
sympathy	135
debuts	135
spending	135
enlist	135
Funny	135
book	135
impossible	134
supported	134
war	134
arms	134
realistic	134
covered	134
process	133
renew	133
historical	133
sending	133
bumps	133
Think	133
shine	133
criminals	133
ideal	133
presence	133
ignore	133
images	132
Jessi	132
kick	132
secret	132
Nichkhun	132
thoughts	132
PDs	132
prepared	131
Yeeun	131
information	131
focusing	131
according	131
texts	131
types	131
hips	131
purpose	131
Real	130
foreigner	130
composed	130
recorded	130
tryhard	130
representative	130
Taecyeon	130
page	130
smaller	130
consideration	130
faced	130
absolute	129
vocals	129
Entertainment	129
fox	129
permission	129
national	129
embarrassment	129
site	129
criticized	129
below	129
VIXX	129
tickets	129
hour	128
hul	128
uses	128
defend	128
luxury	128
checked	128
president	128
25	128
iljin	128
radio	128
accounts	128
Jisoo	128
finds	128
Loen	127
humble	127
row	127
opening	127
hurry	127
refuse	127
slowly	127
walk	127
Seol	127
regret	127
club	127
recover	127
starts	127
Nevermind	126
consequences	126
chosen	126
disappointing	126
falling	126
blaming	125
promise	125
lacks	125
per	125
pregnancy	125
learned	125
Chanmi	125
eyelids	124
sue	124
Hongki	124
leaked	124
purely	124
Any	124
deep	124
stronger	124
Brothers	124
sasaeng	123
meaning	123
Mina	123
rights	123
Solji	123
lower	123
2013	123
legendary	123
Trash	123
upon	123
whoever	122
Yezi	122
teacher	122
deleted	122
chubby	122
community	122
avoid	122
touching	122
Island	122
gift	122
Got	122
extremely	122
resort	122
maknae	122
charity	122
professional	122
Gil	122
FT	122
Sunggyu	121
Aren	121
hundreds	121
vs	121
bank	121
18	121
tough	121
sensitive	121
block	121
Yeol	120
opinions	120
Lovelyz	120
hates	120
previous	120
manages	120
exam	120
unlike	120
Kangin	120
crimes	119
shy	119
specific	119
large	119
peak	119
boys	119
train	119
hiding	119
voted	119
skill	119
SuJu	118
former	118
produce	118
Eric	118
Tell	118
Kakao	118
exist	118
Joy	118
rarely	118
ballad	118
HOT	118
expenses	118
discharge	118
stands	118
knock	117
composer	117
clarification	117
Wishing	117
matched	117
stories	117
23	117
onto	117
determination	117
closer	117
cutie	116
tiny	116
Dasom	116
fully	116
underwear	116
bullied	116
pride	116
severe	116
achieved	116
grown	116
divorce	116
Ridiculous	116
anniversary	116
Jia	115
managers	115
remain	115
witch	115
complaining	115
juniors	115
seats	115
ice	115
2015	115
remaining	115
Suho	115
swearing	115
whereas	115
suspicious	115
Hwa	115
result	115
Give	115
crowd	114
edited	114
Shil	114
round	114
cafe	114
handled	114
rare	114
letter	114
influence	114
Jaejoong	114
greed	114
abroad	114
till	114
plagiarized	114
outdated	114
Nut	114
cable	114
Umji	114
Soyeon	114
wondered	114
area	114
Basically	114
risk	114
hanging	113
ugh	113
burst	113
express	113
60	113
Ever	113
sign	113
drive	113
Despite	113
street	113
Two	113
brings	113
DIA	113
uploading	113
advancement	112
NA	112
Before	112
promotional	112
festival	112
yourselves	112
including	112
discord	112
dinner	112
cases	112
Mask	112
profit	112
channels	112
worker	112
producing	112
strip	112
raising	112
illegal	112
lied	112
Proves	112
otherwise	112
mentioning	112
intention	112
paper	111
Idol	111
Key	111
nuisance	111
Someone	111
present	111
